,node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband,scenario
187,ME0 0,ME0 0 hydro,hydro,342.0,0.0,0.0,0.9,inflow_ME_1,2869.159122335569,1.0,const,const,0.67,0.0,0.0,0.0,
188,ME0 0,ME0 0 ror,ror,307.0,0.0,0.0,0.9,gen_ror_ME_1,0.0,,,,,0.0,,,
189,ME0 0,ME0 0 onwind,wind_on,118.0,0.0,0.015,1.0,gen_wind_ME_3,0.0,,,,,0.0,,,
190,MK0 0,MK0 0 CCGT,fossil_gas,251.0,0.0,46.80312068965517,1.0,const,0.0,,,,,0.0,,,
191,MK0 0,MK0 0 lignite,fossil_other,824.0,0.0,13.256654545454548,1.0,const,0.0,,,,,0.0,,,
192,MK0 0,MK0 0 hydro,hydro,506.0,0.0,0.0,0.9,inflow_MK_1,3036.0,1.0,const,const,0.67,0.0,0.0,0.0,
193,MK0 0,MK0 0 ror,ror,191.6,0.0,0.0,0.9,gen_ror_MK_1,0.0,,,,,0.0,,,
194,MK0 0,MK0 0 solar-hsat,solar,16.713,0.0,0.01,1.0,gen_sol_MK_2,0.0,,,,,0.0,,,
195,MK0 0,MK0 0 onwind,wind_on,35.0,0.0,0.015,1.0,gen_wind_MK_1,0.0,,,,,0.0,,,
196,NL0 0,NL0 0 biomass,RES_other,485.0,0.0,15.828205128205129,1.0,const,0.0,,,,,0.0,,,
197,NL0 0,NL0 0 CCGT,fossil_gas,15570.0,0.0,57.184562564563855,1.0,const,0.0,,,,,0.0,,,
198,NL0 0,NL0 0 coal,fossil_other,4631.0,0.0,32.21332121212121,1.0,const,0.0,,,,,0.0,,,
199,NL0 0,NL0 0 solar-hsat,solar,4608.000000000001,0.0,0.01,1.0,gen_sol_NL_2,0.0,,,,,0.0,,,
200,NL0 0,NL0 0 offwind-dc,wind_off,957.0,0.0,0.015,1.0,gen_wind_NL_2,0.0,,,,,0.0,,,
